Date,Weight
2023-01-01,77.69
2023-01-02,98.61
2023-01-03,110.75
2023-01-04,124.22
2023-01-05,98.21
2023-01-06,98.55
2023-01-07,95.37
2023-01-08,83.43
2023-01-09,96.04
2023-01-10,111.56
2023-01-11,96.81
2023-01-12,97.12
2023-01-13,108.07
2023-01-14,44.64
2023-01-15,47.7
2023-01-16,97.0
2023-01-17,90.58
2023-01-18,110.81
2023-01-19,92.81
2023-01-20,85.57
2023-01-21,96.94
2023-01-22,71.79
2023-01-23,108.73
2023-01-24,86.66
2023-01-25,100.18
2023-01-26,110.32
2023-01-27,91.7
2023-01-28,82.13
2023-01-29,67.69
2023-01-30,105.5
2023-01-31,101.15
2023-02-01,138.25
2023-02-02,110.56
2023-02-03,95.18
2023-02-04,90.27
2023-02-05,59.82
2023-02-06,115.03
2023-02-07,82.77
2023-02-08,92.52
2023-02-09,115.66
2023-02-10,124.05
2023-02-11,81.83
2023-02-12,77.71
2023-02-13,109.22
2023-02-14,91.81
2023-02-15,103.44
2023-02-16,107.56
2023-02-17,130.57
2023-02-18,85.61
2023-02-19,54.17
2023-02-20,120.25
2023-02-21,109.83
2023-02-22,105.67
2023-02-23,125.2
2023-02-24,131.7
2023-02-25,95.47
2023-02-26,69.05
2023-02-27,112.17
2023-02-28,121.97
2023-03-01,131.81
2023-03-02,110.16
2023-03-03,114.73
2023-03-04,65.78
2023-03-05,64.54
2023-03-06,130.18
2023-03-07,138.48
2023-03-08,117.2
2023-03-09,133.47
2023-03-10,123.98
2023-03-11,73.4
2023-03-12,88.58
2023-03-13,141.98
2023-03-14,118.48
2023-03-15,142.59
2023-03-16,79.93
2023-03-17,131.64
2023-03-18,84.89
2023-03-19,79.15
2023-03-20,120.93
2023-03-21,89.81
2023-03-22,116.39
2023-03-23,125.1
2023-03-24,141.97
2023-03-25,76.12
2023-03-26,71.79
2023-03-27,112.39
2023-03-28,133.68
2023-03-29,124.9
2023-03-30,112.04
2023-03-31,127.69
2023-04-01,85.46
2023-04-02,98.53
2023-04-03,109.46
2023-04-04,115.06
2023-04-05,114.08
2023-04-06,97.98
2023-04-07,124.34
2023-04-08,87.82
2023-04-09,83.95
2023-04-10,116.25
2023-04-11,98.49
2023-04-12,113.35
2023-04-13,114.45
2023-04-14,107.49
2023-04-15,81.19
2023-04-16,89.61
2023-04-17,147.56
2023-04-18,121.79
2023-04-19,122.94
2023-04-20,117.85
2023-04-21,90.07
2023-04-22,82.72
2023-04-23,83.93
2023-04-24,155.43
2023-04-25,115.47
2023-04-26,122.74
2023-04-27,117.55
2023-04-28,100.39
2023-04-29,99.58
2023-04-30,93.6
2023-05-01,129.3
2023-05-02,103.62
2023-05-03,138.13
2023-05-04,95.88
2023-05-05,125.52
2023-05-06,114.43
2023-05-07,66.57
2023-05-08,107.64
2023-05-09,117.42
2023-05-10,108.16
2023-05-11,92.24
2023-05-12,116.31
2023-05-13,64.6
2023-05-14,87.48
2023-05-15,100.8
2023-05-16,137.6
2023-05-17,102.36
2023-05-18,109.03
2023-05-19,125.82
2023-05-20,60.89
2023-05-21,82.58
2023-05-22,132.45
2023-05-23,88.46
2023-05-24,115.08
2023-05-25,115.93
2023-05-26,123.48
2023-05-27,59.48
2023-05-28,58.03
2023-05-29,118.73
2023-05-30,115.07
2023-05-31,114.08
2023-06-01,115.22
2023-06-02,99.53
2023-06-03,80.08
2023-06-04,80.78
2023-06-05,98.1
2023-06-06,136.49
2023-06-07,115.29
2023-06-08,90.0
2023-06-09,117.4
2023-06-10,60.44
2023-06-11,86.64
2023-06-12,123.97
2023-06-13,93.95
2023-06-14,120.38
2023-06-15,111.8
2023-06-16,117.6
2023-06-17,101.91
2023-06-18,69.54
2023-06-19,92.96
2023-06-20,90.59
2023-06-21,91.36
2023-06-22,102.1
2023-06-23,108.03
2023-06-24,75.95
2023-06-25,83.97
2023-06-26,102.09
2023-06-27,123.35
2023-06-28,97.23
2023-06-29,141.66
2023-06-30,109.9
2023-07-01,57.26
2023-07-02,53.82
2023-07-03,106.72
2023-07-04,95.79
2023-07-05,109.51
2023-07-06,105.55
2023-07-07,97.02
2023-07-08,55.73
2023-07-09,45.47
2023-07-10,90.39
2023-07-11,109.59
2023-07-12,99.62
2023-07-13,77.38
2023-07-14,98.33
2023-07-15,72.56
2023-07-16,53.28
2023-07-17,97.03
2023-07-18,95.27
2023-07-19,76.92
2023-07-20,99.1
2023-07-21,101.82
2023-07-22,81.41
2023-07-23,80.74
2023-07-24,71.78
2023-07-25,78.06
2023-07-26,99.54
2023-07-27,99.21
2023-07-28,98.92
2023-07-29,121.41
2023-07-30,71.97
2023-07-31,107.31
2023-08-01,104.29
2023-08-02,99.45
2023-08-03,84.66
2023-08-04,100.48
2023-08-05,50.57
2023-08-06,58.41
2023-08-07,80.96
2023-08-08,89.2
2023-08-09,122.41
2023-08-10,59.42
2023-08-11,97.45
2023-08-12,36.64
2023-08-13,53.57
2023-08-14,102.72
2023-08-15,87.1
2023-08-16,69.72
2023-08-17,74.92
2023-08-18,95.6
2023-08-19,48.67
2023-08-20,62.71
2023-08-21,85.41
2023-08-22,74.73
2023-08-23,116.45
2023-08-24,93.59
2023-08-25,53.49
2023-08-26,61.37
2023-08-27,48.5
2023-08-28,96.07
2023-08-29,71.21
2023-08-30,81.19
2023-08-31,90.31
2023-09-01,95.55
2023-09-02,39.68
2023-09-03,52.55
2023-09-04,74.96
2023-09-05,72.13
2023-09-06,108.27
2023-09-07,87.72
2023-09-08,62.6
2023-09-09,70.74
2023-09-10,88.72
2023-09-11,96.63
2023-09-12,58.24
2023-09-13,73.66
2023-09-14,99.83
2023-09-15,70.12
2023-09-16,63.11
2023-09-17,68.01
2023-09-18,66.58
2023-09-19,79.51
2023-09-20,31.72
2023-09-21,64.92
2023-09-22,76.44
2023-09-23,37.41
2023-09-24,80.58
2023-09-25,58.65
2023-09-26,73.47
2023-09-27,82.0
2023-09-28,101.64
2023-09-29,58.47
2023-09-30,73.45
2023-10-01,56.15
2023-10-02,65.28
2023-10-03,86.95
2023-10-04,83.02
2023-10-05,71.05
2023-10-06,81.13
2023-10-07,50.3
2023-10-08,57.81
2023-10-09,90.13
2023-10-10,104.04
2023-10-11,61.74
2023-10-12,112.37
2023-10-13,51.16
2023-10-14,54.09
2023-10-15,65.24
2023-10-16,84.9
2023-10-17,71.44
2023-10-18,77.75
2023-10-19,73.58
2023-10-20,72.25
2023-10-21,69.59
2023-10-22,62.28
2023-10-23,71.06
2023-10-24,95.07
2023-10-25,86.33
2023-10-26,94.05
2023-10-27,91.45
2023-10-28,45.08
2023-10-29,49.22
2023-10-30,93.69
2023-10-31,91.81
2023-11-01,82.51
2023-11-02,84.76
2023-11-03,102.35
2023-11-04,49.49
2023-11-05,66.71
2023-11-06,80.74
2023-11-07,80.71
2023-11-08,100.66
2023-11-09,96.78
2023-11-10,96.81
2023-11-11,78.97
2023-11-12,59.86
2023-11-13,95.52
2023-11-14,80.87
2023-11-15,90.63
2023-11-16,84.06
2023-11-17,87.71
2023-11-18,69.49
2023-11-19,48.46
2023-11-20,118.41
2023-11-21,72.2
2023-11-22,69.35
2023-11-23,105.2
2023-11-24,99.98
2023-11-25,71.23
2023-11-26,71.49
2023-11-27,88.77
2023-11-28,75.78
2023-11-29,90.67
2023-11-30,79.67
2023-12-01,104.75
2023-12-02,61.09
2023-12-03,51.13
2023-12-04,86.21
2023-12-05,97.54
2023-12-06,83.2
2023-12-07,79.64
2023-12-08,95.94
2023-12-09,68.5
2023-12-10,57.44
2023-12-11,86.18
2023-12-12,97.06
2023-12-13,72.18
2023-12-14,73.12
2023-12-15,83.78
2023-12-16,63.22
2023-12-17,71.32
2023-12-18,117.69
2023-12-19,108.76
2023-12-20,93.84
2023-12-21,96.29
2023-12-22,81.88
2023-12-23,67.8
2023-12-24,63.99
2023-12-25,102.78
2023-12-26,85.87
2023-12-27,106.41
2023-12-28,121.96
2023-12-29,97.68
2023-12-30,75.78
2023-12-31,80.35
2024-01-01,94.33
2024-01-02,104.05
2024-01-03,101.22
2024-01-04,102.84
2024-01-05,90.12
2024-01-06,71.81
2024-01-07,79.15
2024-01-08,124.51
2024-01-09,117.48
2024-01-10,135.72
2024-01-11,92.25
2024-01-12,117.19
2024-01-13,75.86
2024-01-14,106.19
2024-01-15,92.98
2024-01-16,92.84
2024-01-17,96.78
2024-01-18,74.24
2024-01-19,98.54
2024-01-20,63.34
2024-01-21,77.21
2024-01-22,112.52
2024-01-23,135.86
2024-01-24,122.29
2024-01-25,99.69
2024-01-26,95.18
2024-01-27,83.65
2024-01-28,56.69
2024-01-29,137.05
2024-01-30,127.57
2024-01-31,103.14
2024-02-01,84.77
2024-02-02,131.07
2024-02-03,76.02
2024-02-04,96.5
2024-02-05,87.7
2024-02-06,102.9
2024-02-07,112.25
2024-02-08,113.15
2024-02-09,105.96
2024-02-10,88.42
2024-02-11,63.25
2024-02-12,111.35
2024-02-13,115.55
2024-02-14,121.71
2024-02-15,124.91
2024-02-16,97.6
2024-02-17,57.28
2024-02-18,99.62
2024-02-19,120.15
2024-02-20,104.16
2024-02-21,138.87
2024-02-22,117.55
2024-02-23,133.72
2024-02-24,82.37
2024-02-25,112.41
2024-02-26,142.95
2024-02-27,113.08
2024-02-28,131.57
2024-02-29,126.86
2024-03-01,137.88
2024-03-02,67.79
2024-03-03,92.67
2024-03-04,133.72
2024-03-05,91.61
2024-03-06,100.39
2024-03-07,87.69
2024-03-08,114.38
2024-03-09,93.75
2024-03-10,105.61
2024-03-11,119.91
2024-03-12,143.34
2024-03-13,98.32
2024-03-14,93.57
2024-03-15,118.39
2024-03-16,89.28
2024-03-17,83.09
2024-03-18,88.47
2024-03-19,118.22
2024-03-20,100.06
2024-03-21,129.73
2024-03-22,125.25
2024-03-23,69.76
2024-03-24,76.18
2024-03-25,104.0
2024-03-26,118.98
2024-03-27,134.27
2024-03-28,105.18
2024-03-29,127.55
2024-03-30,76.04
2024-03-31,72.11
2024-04-01,118.39
2024-04-02,104.46
2024-04-03,111.67
2024-04-04,101.99
2024-04-05,149.4
2024-04-06,84.46
2024-04-07,73.41
2024-04-08,123.03
2024-04-09,118.09
2024-04-10,116.4
2024-04-11,128.87
2024-04-12,130.95
2024-04-13,75.71
2024-04-14,74.97
2024-04-15,115.23
2024-04-16,84.74
2024-04-17,96.45
2024-04-18,139.58
2024-04-19,143.64
2024-04-20,79.46
2024-04-21,91.76
2024-04-22,123.28
2024-04-23,164.67
2024-04-24,135.15
2024-04-25,116.29
2024-04-26,103.73
2024-04-27,58.45
2024-04-28,85.48
2024-04-29,106.25
2024-04-30,96.1
2024-05-01,107.56
2024-05-02,100.86
2024-05-03,142.21
2024-05-04,94.93
2024-05-05,81.45
2024-05-06,138.53
2024-05-07,117.29
2024-05-08,103.0
2024-05-09,138.56
2024-05-10,123.58
2024-05-11,65.14
2024-05-12,77.68
2024-05-13,101.69
2024-05-14,93.85
2024-05-15,128.25
2024-05-16,142.75
2024-05-17,92.89
2024-05-18,87.98
2024-05-19,69.59
2024-05-20,105.8
2024-05-21,103.96
2024-05-22,99.62
2024-05-23,113.03
2024-05-24,99.57
2024-05-25,82.29
2024-05-26,77.28
2024-05-27,107.61
2024-05-28,97.29
2024-05-29,101.96
2024-05-30,121.65
2024-05-31,117.54
2024-06-01,62.14
2024-06-02,78.09
2024-06-03,120.39
2024-06-04,83.77
2024-06-05,116.65
2024-06-06,98.25
2024-06-07,116.43
2024-06-08,63.84
2024-06-09,47.99
2024-06-10,82.5
2024-06-11,107.31
2024-06-12,110.16
2024-06-13,92.37
2024-06-14,115.18
2024-06-15,48.77
2024-06-16,72.47
2024-06-17,86.44
2024-06-18,94.49
2024-06-19,104.64
2024-06-20,90.69
2024-06-21,97.49
2024-06-22,87.14
2024-06-23,63.15
2024-06-24,114.77
2024-06-25,84.95
2024-06-26,109.49
2024-06-27,122.83
2024-06-28,63.79
2024-06-29,58.41
2024-06-30,78.78
2024-07-01,96.78
2024-07-02,105.05
2024-07-03,90.08
2024-07-04,100.09
2024-07-05,96.12
2024-07-06,86.19
2024-07-07,72.25
2024-07-08,102.49
2024-07-09,90.91
2024-07-10,89.43
2024-07-11,89.92
2024-07-12,101.98
2024-07-13,60.7
2024-07-14,71.12
2024-07-15,126.19
2024-07-16,107.79
2024-07-17,89.51
2024-07-18,112.08
2024-07-19,87.62
2024-07-20,34.82
2024-07-21,50.04
2024-07-22,64.7
2024-07-23,87.17
2024-07-24,92.4
